Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted,Profile,Source_Folder,Source_File
Avg_Fold_PR_AUC,1.5,2.5,0.977386168572084,FALSE,,0.9774,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,3.0,0.9788973449855932,FALSE,,0.9789,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,3.5,0.9719436569805056,FALSE,,0.9719,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,2.0,0.9774981505034268,FALSE,,0.9775,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,2.5,0.9741838929189196,FALSE,,0.9742,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,3.0,0.9748573795164752,FALSE,,0.9749,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,3.5,0.9722649650228156,FALSE,,0.9723,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,2.0,0.9757711628994729,TRUE,,0.9758,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,2.5,0.9742709686177032,TRUE,,0.9743,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,3.0,0.9717985227396906,TRUE,,0.9718,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,3.5,0.9739882900065538,TRUE,,0.9740,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,2.0,0.979834492319406,TRUE,,0.9798,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,2.5,0.9762102996426538,TRUE,,0.9762,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,3.0,0.976343152100434,TRUE,,0.9763,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,3.5,0.9735987637717132,TRUE,,0.9736,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,2.0,0.9784163952424384,TRUE,,0.9784,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,2.5,0.9713658335382434,TRUE,,0.9714,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,3.0,0.9755789905361044,TRUE,,0.9756,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,3.5,0.9722000285779208,TRUE,,0.9722,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,2.0,0.9486111111111112,FALSE,,0.9486,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,2.5,0.9233195858435704,FALSE,,0.9233,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,3.0,0.9139562007022228,FALSE,,0.9140,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,3.5,0.8841186916128368,FALSE,,0.8841,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,2.0,0.9062634201383996,FALSE,,0.9063,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,2.5,0.9054536816964104,FALSE,,0.9055,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,ensemble_voting_summary_00-00.csv
