Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted
Matthews_Correlation_Coefficient,1.5,3.0,0.8277,TRUE,0.0290,0.8277 ± 0.0290
Matthews_Correlation_Coefficient,2.0,3.0,0.7755,TRUE,0.0582,0.7755 ± 0.0582
Matthews_Correlation_Coefficient,1.0,3.5,0.8321,TRUE,0.0208,0.8321 ± 0.0208
Matthews_Correlation_Coefficient,1.5,3.5,0.7230,TRUE,0.0927,0.7230 ± 0.0927
Matthews_Correlation_Coefficient,2.0,3.5,0.7049,TRUE,0.1189,0.7049 ± 0.1189
NPV_(Negative_Predictive_Value),1.0,2.0,0.8987,FALSE,0.0330,0.8987 ± 0.0330
NPV_(Negative_Predictive_Value),1.5,2.0,0.9387,FALSE,0.0218,0.9387 ± 0.0218
NPV_(Negative_Predictive_Value),2.0,2.0,0.9243,FALSE,0.0383,0.9243 ± 0.0383
NPV_(Negative_Predictive_Value),1.0,2.5,0.8954,FALSE,0.0518,0.8954 ± 0.0518
NPV_(Negative_Predictive_Value),1.5,2.5,0.9269,FALSE,0.0412,0.9269 ± 0.0412
NPV_(Negative_Predictive_Value),2.0,2.5,0.9404,FALSE,0.0362,0.9404 ± 0.0362
NPV_(Negative_Predictive_Value),1.0,3.0,0.9210,FALSE,0.0343,0.9210 ± 0.0343
NPV_(Negative_Predictive_Value),1.5,3.0,0.9394,FALSE,0.0251,0.9394 ± 0.0251
NPV_(Negative_Predictive_Value),2.0,3.0,0.9419,FALSE,0.0373,0.9419 ± 0.0373
NPV_(Negative_Predictive_Value),1.0,3.5,0.9222,FALSE,0.0391,0.9222 ± 0.0391
NPV_(Negative_Predictive_Value),1.5,3.5,0.9184,FALSE,0.0326,0.9184 ± 0.0326
NPV_(Negative_Predictive_Value),2.0,3.5,0.9645,FALSE,0.0344,0.9645 ± 0.0344
NPV_(Negative_Predictive_Value),1.0,2.0,0.8938,TRUE,0.0270,0.8938 ± 0.0270
NPV_(Negative_Predictive_Value),1.5,2.0,0.9182,TRUE,0.0425,0.9182 ± 0.0425
NPV_(Negative_Predictive_Value),2.0,2.0,0.9256,TRUE,0.0257,0.9256 ± 0.0257
NPV_(Negative_Predictive_Value),1.0,2.5,0.8704,TRUE,0.0425,0.8704 ± 0.0425
NPV_(Negative_Predictive_Value),1.5,2.5,0.9325,TRUE,0.0251,0.9325 ± 0.0251
NPV_(Negative_Predictive_Value),2.0,2.5,0.9325,TRUE,0.0251,0.9325 ± 0.0251
NPV_(Negative_Predictive_Value),1.0,3.0,0.9261,TRUE,0.0344,0.9261 ± 0.0344
NPV_(Negative_Predictive_Value),1.5,3.0,0.9353,TRUE,0.0282,0.9353 ± 0.0282
NPV_(Negative_Predictive_Value),2.0,3.0,0.9597,TRUE,0.0197,0.9597 ± 0.0197
NPV_(Negative_Predictive_Value),1.0,3.5,0.9198,TRUE,0.0497,0.9198 ± 0.0497
NPV_(Negative_Predictive_Value),1.5,3.5,0.9459,TRUE,0.0400,0.9459 ± 0.0400
NPV_(Negative_Predictive_Value),2.0,3.5,0.9532,TRUE,0.0383,0.9532 ± 0.0383
PPV_(Positive_Predictive_Value),1.0,2.0,0.9486,FALSE,0.0227,0.9486 ± 0.0227
PPV_(Positive_Predictive_Value),1.5,2.0,0.9063,FALSE,0.0250,0.9063 ± 0.0250
PPV_(Positive_Predictive_Value),2.0,2.0,0.9104,FALSE,0.0469,0.9104 ± 0.0469
PPV_(Positive_Predictive_Value),1.0,2.5,0.9233,FALSE,0.0452,0.9233 ± 0.0452
PPV_(Positive_Predictive_Value),1.5,2.5,0.9055,FALSE,0.0255,0.9055 ± 0.0255
PPV_(Positive_Predictive_Value),2.0,2.5,0.8595,FALSE,0.0416,0.8595 ± 0.0416
PPV_(Positive_Predictive_Value),1.0,3.0,0.9140,FALSE,0.0545,0.9140 ± 0.0545
PPV_(Positive_Predictive_Value),1.5,3.0,0.9078,FALSE,0.0417,0.9078 ± 0.0417
PPV_(Positive_Predictive_Value),2.0,3.0,0.8382,FALSE,0.0627,0.8382 ± 0.0627
PPV_(Positive_Predictive_Value),1.0,3.5,0.8841,FALSE,0.0554,0.8841 ± 0.0554
PPV_(Positive_Predictive_Value),1.5,3.5,0.8928,FALSE,0.0330,0.8928 ± 0.0330
PPV_(Positive_Predictive_Value),2.0,3.5,0.7943,FALSE,0.0948,0.7943 ± 0.0948
PPV_(Positive_Predictive_Value),1.0,2.0,0.9293,TRUE,0.0396,0.9293 ± 0.0396
PPV_(Positive_Predictive_Value),1.5,2.0,0.9051,TRUE,0.0558,0.9051 ± 0.0558
PPV_(Positive_Predictive_Value),2.0,2.0,0.9060,TRUE,0.0389,0.9060 ± 0.0389
PPV_(Positive_Predictive_Value),1.0,2.5,0.9435,TRUE,0.0272,0.9435 ± 0.0272
PPV_(Positive_Predictive_Value),1.5,2.5,0.9048,TRUE,0.0485,0.9048 ± 0.0485
PPV_(Positive_Predictive_Value),2.0,2.5,0.9048,TRUE,0.0485,0.9048 ± 0.0485
PPV_(Positive_Predictive_Value),1.0,3.0,0.8987,TRUE,0.0521,0.8987 ± 0.0521
PPV_(Positive_Predictive_Value),1.5,3.0,0.8955,TRUE,0.0425,0.8955 ± 0.0425
PPV_(Positive_Predictive_Value),2.0,3.0,0.8303,TRUE,0.0602,0.8303 ± 0.0602
PPV_(Positive_Predictive_Value),1.0,3.5,0.9164,TRUE,0.0436,0.9164 ± 0.0436
PPV_(Positive_Predictive_Value),1.5,3.5,0.8038,TRUE,0.1026,0.8038 ± 0.1026
PPV_(Positive_Predictive_Value),2.0,3.5,0.7873,TRUE,0.1099,0.7873 ± 0.1099
Precision(+),1.0,2.0,0.9486,FALSE,0.0227,0.9486 ± 0.0227
Precision(+),1.5,2.0,0.9063,FALSE,0.0250,0.9063 ± 0.0250
Precision(+),2.0,2.0,0.9104,FALSE,0.0469,0.9104 ± 0.0469
Precision(+),1.0,2.5,0.9233,FALSE,0.0452,0.9233 ± 0.0452
Precision(+),1.5,2.5,0.9055,FALSE,0.0255,0.9055 ± 0.0255
Precision(+),2.0,2.5,0.8595,FALSE,0.0416,0.8595 ± 0.0416
Precision(+),1.0,3.0,0.9140,FALSE,0.0545,0.9140 ± 0.0545
Precision(+),1.5,3.0,0.9078,FALSE,0.0417,0.9078 ± 0.0417
Precision(+),2.0,3.0,0.8382,FALSE,0.0627,0.8382 ± 0.0627
Precision(+),1.0,3.5,0.8841,FALSE,0.0554,0.8841 ± 0.0554
Precision(+),1.5,3.5,0.8928,FALSE,0.0330,0.8928 ± 0.0330
Precision(+),2.0,3.5,0.7943,FALSE,0.0948,0.7943 ± 0.0948
Precision(+),1.0,2.0,0.9293,TRUE,0.0396,0.9293 ± 0.0396
