Metric,Pos_Weight,Gamma,Mean_Transfer_Learning_False,Mean_Transfer_Learning_True,Std_Transfer_Learning_False,Std_Transfer_Learning_True,Difference_True_Minus_False,Propagated_Std_True_Minus_False
Recall(-),1.5,3.0,0.9018,0.8877,0.0505,0.0505,-0.014100000000000001,0.07141778489984131
Recall(-),1.5,3.5,0.8877,0.7474,0.0404,0.1572,-0.1403000000000001,0.16230834852218787
Recall(-),2.0,2.0,0.9053,0.9018,0.059,0.0457,-0.0034999999999999476,0.07462901580484631
Recall(-),2.0,2.5,0.8421,0.8982,0.0595,0.06,0.05610000000000004,0.08449999999999999
Recall(-),2.0,3.0,0.8105,0.7965,0.0872,0.09,-0.014000000000000012,0.12531496319274885
Recall(-),2.0,3.5,0.7298,0.7158,0.1783,0.1911,-0.014000000000000012,0.26136200948110266
Sensitivity_(Recall),1.0,2.0,0.8912,0.8877,0.0419,0.0364,-0.0034999999999999476,0.05550288280801277
Sensitivity_(Recall),1.0,2.5,0.8877,0.8561,0.0628,0.0574,-0.03160000000000007,0.08507996238833207
Sensitivity_(Recall),1.0,3.0,0.9193,0.9263,0.0423,0.0419,0.007000000000000006,0.05953906280753838
Sensitivity_(Recall),1.0,3.5,0.9228,0.9158,0.049,0.06,-0.007000000000000006,0.07746612162745725
Sensitivity_(Recall),1.5,2.0,0.9404,0.9158,0.0235,0.0546,-0.024600000000000066,0.05944249321823573
Sensitivity_(Recall),1.5,2.5,0.9263,0.9333,0.0471,0.0288,0.007000000000000006,0.055207336468987525
Sensitivity_(Recall),1.5,3.0,0.9404,0.9368,0.0294,0.0342,-0.0036000000000000476,0.045099889135118726
Sensitivity_(Recall),1.5,3.5,0.9193,0.9509,0.0364,0.0471,0.03159999999999996,0.05952621271339208
Sensitivity_(Recall),2.0,2.0,0.9228,0.9263,0.0474,0.0288,0.0035000000000000586,0.055463501512255785
Sensitivity_(Recall),2.0,2.5,0.9439,0.9333,0.04,0.0288,-0.010599999999999943,0.04928934976239796
Sensitivity_(Recall),2.0,3.0,0.9474,0.9649,0.0411,0.0215,0.01749999999999996,0.04638383339052519
Sensitivity_(Recall),2.0,3.5,0.9684,0.9579,0.0337,0.0404,-0.010500000000000065,0.052610360196448
Specificity,1.0,2.0,0.9509,0.9298,0.0229,0.043,-0.021100000000000008,0.04871765593704196
Specificity,1.0,2.5,0.9228,0.9474,0.0505,0.0277,0.024600000000000066,0.05759809024611841
Specificity,1.0,3.0,0.9088,0.8912,0.0625,0.06,-0.01760000000000006,0.08663861725581729
Specificity,1.0,3.5,0.8737,0.9123,0.0637,0.0526,0.03859999999999997,0.0826102293907964
Specificity,1.5,2.0,0.9018,0.8982,0.0294,0.0673,-0.0036000000000000476,0.07344147329676877
Specificity,1.5,2.5,0.9018,0.8982,0.0319,0.06,-0.0036000000000000476,0.06795299846217236
Specificity,1.5,3.0,0.9018,0.8877,0.0505,0.0505,-0.014100000000000001,0.07141778489984131
Specificity,1.5,3.5,0.8877,0.7474,0.0404,0.1572,-0.1403000000000001,0.16230834852218787
Specificity,2.0,2.0,0.9053,0.9018,0.059,0.0457,-0.0034999999999999476,0.07462901580484631
Specificity,2.0,2.5,0.8421,0.8982,0.0595,0.06,0.05610000000000004,0.08449999999999999
Specificity,2.0,3.0,0.8105,0.7965,0.0872,0.09,-0.014000000000000012,0.12531496319274885
Specificity,2.0,3.5,0.7298,0.7158,0.1783,0.1911,-0.014000000000000012,0.26136200948110266
